Title;Features.Handheld?;Features.Max Players;Features.Multiplatform?;Features.Online?;Metadata.Genres;Metadata.Licensed?;Metadata.Publishers;Metadata.Sequel?;Metrics.Review Score;Metrics,Sales;Metrics,Used Price;Release.Console;Release.Rating;Release.Re-release?;Release.Year;Length.All PlayStyles.Average;Length.All PlayStyles.Leisure;Length.All PlayStyles.Median;Length.All PlayStyles.Polled;Length.All PlayStyles.Rushed;Length.Completionists.Average;Length.Completionists.Leisure;Length.Completionists.Median;Length.Completionists.Polled;Length.Completionists.Rushed;Length.Main + Extras.Average;Length.Main + Extras.Leisure;Length.Main + Extras.Median;Length.Main + Extras.Polled;Length.Main + Extras.Rushed;Length.Main Story.Average;Length.Main Story.Leisure;Length.Main Story.Median;Length.Main Story.Polled;Length.Main Story.Rushed
Spider-Man 3;True;1;True;True;Action;True;Ubisoft;True;58;0,01;6,95;Sony PSP;M;True;2006;10.833.333.333.333.300;16.283.333.333.333.300;10.316.666.666.666.600;18;7.883.333.333.333.330;10.816.666.666.666.600;10.816.666.666.666.600;10.816.666.666.666.600;1;10.816.666.666.666.600;12.55;16.966.666.666.666.600;11.316.666.666.666.600;7;10.966.666.666.666.600;9.633.333.333.333.330;12.483.333.333.333.300;9.666.666.666.666.660;10;7.416.666.666.666.660
College Hoops 2K7;True;6;True;True;Sports;True;2K;True;81;0,16;6,95;PlayStation 3;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NHL 2K8 ;True;1;True;True;Sports;True;2K;True;71;0,12;6,95;X360;T;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
UEFA Champions League 2006-2007;True;4;True;True;Sports;True;EA;True;72;0,03;6,95;X360;T;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Madden NFL 06;True;1;True;True;Sports;True;EA;True;75;0,75;7,95;Sony PSP;E;True;2005;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA Live 07;True;1;True;True;Sports;True;EA;True;64;0,51;7,95;Sony PSP;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA 2K7;True;7;True;True;Sports;True;2K;True;80;0,31;7,95;PlayStation 3;E;True;2006;8.183.333.333.333.330;8.766.666.666.666.660;8.183.333.333.333.330;2;7.583.333.333.333.330;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;8.183.333.333.333.330;8.766.666.666.666.660;8.183.333.333.333.330;2;7.583.333.333.333.330
Superman Returns;True;1;True;True;Action;True;EA;True;51;0,19;7,95;X360;E;True;2006;18.766.666.666.666.600;22.683.333.333.333.300;22.0;5;13.683.333.333.333.300;21.716.666.666.666.600;23.55;22.5;4;19.483.333.333.333.300;0.0;0.0;0.0;0;0.0;7.0;7.0;7.0;1;7.0
NBA Street Homecourt;True;4;True;True;Sports;True;EA;True;80;0,47;7,95;X360;T;True;2007;18.316.666.666.666.600;26.5;7.716.666.666.666.660;3;10.116.666.666.666.600;7.716.666.666.666.660;7.716.666.666.666.660;7.716.666.666.666.660;1;7.716.666.666.666.660;23.616.666.666.666.600;31.8;23.616.666.666.666.600;2;15.416.666.666.666.600;0.0;0.0;0.0;0;0.0
All-Pro Football 2K8;True;4;True;True;Sports;True;2K;True;75;0,24;7,95;X360;T;True;2007;12.0;12.0;12.0;1;12.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;12.0;12.0;12.0;1;12.0
Major League Baseball 2K7;True;2;True;True;Sports;True;2K;True;74;0,24;7,95;PlayStation 3;M;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NCAA 07 March Madness;True;4;True;True;Sports;True;EA;True;67;0,17;7,95;X360;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Manhunt 2;True;1;True;True;Action;True;Rockstar;True;69;0,04;7,95;Sony PSP;T;True;2007;10.383.333.333.333.300;17.15;9.5;33;6.816.666.666.666.660;21.183.333.333.333.300;22.783.333.333.333.300;21.183.333.333.333.300;2;19.583.333.333.333.300;12.333.333.333.333.300;14.083.333.333.333.300;14.0;7;10.083.333.333.333.300;8.9;12.866.666.666.666.600;8.566.666.666.666.660;24;6.216.666.666.666.660
NBA 08;True;2;True;True;Sports;True;Sony;True;75;0,03;7,95;Sony PSP;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Turning Point: Fall of Liberty;True;1;True;True;Action;True;Atari,Namco;True;43;0,24;7,95;X360;M;True;2008;5.116.666.666.666.660;6.1;5.0;14;4.133.333.333.333.330;5.216.666.666.666.660;5.216.666.666.666.660;5.216.666.666.666.660;1;5.216.666.666.666.660;3.216.666.666.666.660;3.216.666.666.666.660;3.216.666.666.666.660;1;3.216.666.666.666.660;5.266.666.666.666.660;6.15;5.0;12;4.566.666.666.666.660
Turning Point: Fall of Liberty;True;1;True;True;Action;True;Sony,Ubisoft;True;42;0,22;7,95;PlayStation 3;T;True;2008;5.116.666.666.666.660;6.1;5.0;14;4.133.333.333.333.330;5.216.666.666.666.660;5.216.666.666.666.660;5.216.666.666.666.660;1;5.216.666.666.666.660;3.216.666.666.666.660;3.216.666.666.666.660;3.216.666.666.666.660;1;3.216.666.666.666.660;5.266.666.666.666.660;6.15;5.0;12;4.566.666.666.666.660
Madden NFL 2005;True;1;True;True;Sports;True;EA,Namco;True;68;0,25;8,95;Nintendo DS;T;True;2004;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Feel the Magic XY/XX;True;1;True;True;Action,Adventure,Racing / Driving,Sports;True;Microsoft,SquareEnix;True;75;0,16;8,95;Nintendo DS;T;True;2004;2.9;3.8;3.0;9;23.166.666.666.666.600;0.0;0.0;0.0;0;0.0;3.1;3.15;3.1;2;3.05;2.85;3.783.333.333.333.330;29.833.333.333.333.300;7;2.3
Polarium;True;1;True;True;Strategy;True;EA;True;73;0,12;8,95;Nintendo DS;E;True;2004;6.733.333.333.333.330;9.183.333.333.333.330;6.0;5;5.266.666.666.666.660;12.0;12.0;12.0;1;12.0;0.0;0.0;0.0;0;0.0;5.416.666.666.666.660;5.783.333.333.333.330;5.75;4;4.866.666.666.666.660
Sprung;True;1;True;True;Adventure;True;Eidos;True;48;0,06;8,95;Nintendo DS;E;True;2004;17.75;17.75;17.75;1;17.75;17.75;17.75;17.75;1;17.75;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
The Con;True;1;True;True;Action;True;Rockstar;True;63;0,15;8,95;Sony PSP;E;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Scurge: Hive;True;1;True;True;Action;True;Nintendo,Sega;True;70;0,04;8,95;Nintendo DS;M;True;2006;10.783.333.333.333.300;13.483.333.333.333.300;9.816.666.666.666.660;13;8.65;13.35;14.783.333.333.333.300;13.35;2;11.916.666.666.666.600;0.0;0.0;0.0;0;0.0;10.316.666.666.666.600;13.3;9.583.333.333.333.330;11;8.466.666.666.666.660
Jam Sessions;True;1;True;True;Educational,Simulation;True;SquareEnix;True;72;0,38;8,95;Nintendo DS;T;True;2007;0.25;0.25;0.25;1;0.25;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.25;0.25;0.25;1;0.25
Hot Pixel;True;1;True;True;Action;True;Sony;True;55;0,03;8,95;Sony PSP;T;True;2007;0.7166666666666667;0.85;0.7166666666666667;2;0.5833333333333334;0.0;0.0;0.0;0;0.0;1.0;1.0;1.0;1;1.0;0.45;0.45;0.45;1;0.45
Line Rider 2: Unbound;True;1;True;True;Simulation,Sports;True;Nintendo,SquareEnix;True;59;0,07;8,95;Nintendo DS;M;True;2008;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Ridge Racer DS;True;1;True;True;Racing / Driving;True;Sega;True;63;0,15;9,95;Nintendo DS;E;True;2004;22.333.333.333.333.300;22.333.333.333.333.300;22.333.333.333.333.300;1;22.333.333.333.333.300;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;22.333.333.333.333.300;22.333.333.333.333.300;22.333.333.333.333.300;1;22.333.333.333.333.300
NBA Live 06;True;1;True;True;Sports;True;Konami;True;80;0,42;9,95;Sony PSP;E;True;2005;4.0;4.0;4.0;1;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;4.0;4.0;4.0;1;4.0
Tiger Woods PGA Tour 06;True;4;True;True;Sports;True;Atari,Namco;True;71;0,33;9,95;X360;T;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA 06;True;1;True;True;Sports;True;Ubisoft;True;72;0,22;9,95;Sony PSP;E;True;2005;4.0;4.0;4.0;1;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;4.0;4.0;4.0;1;4.0
Pinball Hall of Fame: The Gottlieb Collection;True;4;True;True;Action;True;Namco;True;73;0,21;9,95;Sony PSP;T;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Tiger Woods PGA Tour 06;True;1;True;True;Sports;True;Activision;True;80;0,2;9,95;Sony PSP;T;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Death Jr.;True;1;True;True;Action;True;THQ;True;61;0,19;9,95;Sony PSP;M;True;2005;3.533.333.333.333.330;3.533.333.333.333.330;3.533.333.333.333.330;1;3.533.333.333.333.330;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;3.533.333.333.333.330;3.533.333.333.333.330;3.533.333.333.333.330;1;3.533.333.333.333.330
Madden NFL 06;True;1;True;True;Sports;True;Activision,Sony;True;66;0,12;9,95;Nintendo DS;E;True;2005;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Gretzky NHL;True;2;True;True;Sports;True;Nintendo,Sega;True;61;0,1;9,95;Sony PSP;E;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
GripShift;True;1;True;True;Racing / Driving;True;Sony,Ubisoft;True;70;0,09;9,95;Sony PSP;E;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Exit;True;1;True;True;Action;True;EA,Namco;True;77;0,05;9,95;Sony PSP;E;True;2005;6.0;6.0;6.0;2;6.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;6.0;6.0;6.0;2;6.0
Madden NFL 07;True;1;True;True;Sports;True;Sony;True;78;0,83;9,95;Sony PSP;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Madden NFL 07;True;4;True;True;Sports;True;EA,Namco;True;81;0,48;9,95;Nintendo Wii;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Tiger Woods PGA Tour 07;True;1;True;True;Sports;True;Activision;True;80;0,45;9,95;X360;T;True;2006;10.0;10.0;10.0;1;10.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;10.0;10.0;10.0;1;10.0
NCAA Football 07;True;1;True;True;Sports;True;Microsoft,SquareEnix;True;75;0,36;9,95;Sony PSP;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
MLB 06: The Show;True;2;True;True;Sports;True;Nintendo;True;83;0,35;9,95;Sony PSP;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Rockstar Games presents Table Tennis;True;2;True;True;Sports;True;Atari,Namco;True;81;0,28;9,95;X360;M;True;2006;6.0;6.0;6.0;2;6.0;0.0;0.0;0.0;0;0.0;6.0;6.0;6.0;1;6.0;6.0;6.0;6.0;1;6.0
Elite Beat Agents;True;1;True;True;Action;True;Activision,Sony;True;87;0,27;9,95;Nintendo DS;M;True;2006;10.266.666.666.666.600;26.183.333.333.333.300;4.5;51;4.183.333.333.333.330;30.45;38.85;35.0;11;20.35;6.4;10.3;4.5;10;3.55;4.15;6.033.333.333.333.330;4.0;30;2.533.333.333.333.330
Magical Starsign;True;1;True;True;Role-Playing (RPG);True;Rockstar;True;69;0,1;9,95;Nintendo DS;E;True;2006;28.966.666.666.666.600;3.411.666.666.666.660;28.783.333.333.333.300;21;24.9;34.0;34.0;34.0;1;34.0;3.218.333.333.333.330;35.733.333.333.333.300;32.0;6;29.033.333.333.333.300;27.216.666.666.666.600;30.983.333.333.333.300;25.833.333.333.333.300;14;23.733.333.333.333.300
Madden NFL 08;True;4;True;True;Sports;True;Capcom,Rockstar;True;85;2,32;9,95;X360;E;True;2007;106.0;176.25;17.0;3;35.75;10.0;10.0;10.0;1;10.0;291.0;291.0;291.0;1;291.0;17.0;17.0;17.0;1;17.0
Madden NFL 08;True;4;True;True;Sports;True;THQ;True;81;0,94;9,95;PlayStation 3;T;True;2007;106.0;176.25;17.0;3;35.75;10.0;10.0;10.0;1;10.0;291.0;291.0;291.0;1;291.0;17.0;17.0;17.0;1;17.0
NBA 2K8 ;True;1;True;True;Sports;True;Activision,Sony;True;81;0,83;9,95;X360;M;True;2007;4.0;4.0;4.0;1;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;4.0;4.0;4.0;1;4.0
Major League Baseball 2K7;True;2;True;True;Sports;True;Activision;True;79;0,7;9,95;X360;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NCAA Football 08;True;2;True;True;Sports;True;Capcom,Nintendo;True;81;0,68;9,95;X360;E;True;2007;12.0;12.0;12.0;1;12.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;12.0;12.0;12.0;1;12.0
Madden NFL 08;True;1;True;True;Sports;True;Ubisoft;True;75;0,64;9,95;Sony PSP;E;True;2007;106.0;176.25;17.0;3;35.75;10.0;10.0;10.0;1;10.0;291.0;291.0;291.0;1;291.0;17.0;17.0;17.0;1;17.0
NBA Live 08;True;4;True;True;Sports;True;Microsoft;True;73;0,6;9,95;PlayStation 3;M;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA 2K8;True;7;True;True;Sports;True;Activision,Sony;True;81;0,5;9,95;PlayStation 3;M;True;2007;4.0;4.0;4.0;1;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;4.0;4.0;4.0;1;4.0
NBA LIVE 08 ;True;1;True;True;Sports;True;Eidos;True;73;0,49;9,95;X360;T;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NCAA Football 08;True;2;True;True;Sports;True;Namco,Sony;True;77;0,36;9,95;PlayStation 3;T;True;2007;12.0;12.0;12.0;1;12.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;12.0;12.0;12.0;1;12.0
MLB 07: The Show;True;2;True;True;Sports;True;Sega;True;77;0,3;9,95;PlayStation 3;T;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
MLB 07: The Show;True;1;True;True;Sports;True;Activision;True;82;0,28;9,95;Sony PSP;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
The Golden Compass;True;1;True;True;Action;True;THQ;True;41;0,27;9,95;X360;M;True;2007;8.566.666.666.666.660;12.133.333.333.333.300;7.0;5;6.383.333.333.333.330;0.0;0.0;0.0;0;0.0;16.5;16.5;16.5;1;16.5;6.583.333.333.333.330;7.1;6.983.333.333.333.330;4;5.883.333.333.333.330
NHL 08 ;True;1;True;True;Sports;True;Activision,Sony;True;85;0,22;9,95;X360;E;True;2007;17.5;18.75;17.5;2;16.25;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;17.5;18.75;17.5;2;16.25
NHL 08;True;7;True;True;Sports;True;Disney;True;86;0,17;9,95;PlayStation 3;T;True;2007;17.5;18.75;17.5;2;16.25;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;17.5;18.75;17.5;2;16.25
College Hoops 2K8;True;1;True;True;Sports;True;Activision,Konami;True;81;0,15;9,95;X360;M;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
All-Pro Football 2K8;True;6;True;True;Sports;True;Disney;True;73;0,14;9,95;PlayStation 3;T;True;2007;12.0;12.0;12.0;1;12.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;12.0;12.0;12.0;1;12.0
NBA 08;True;4;True;True;Sports;True;Nintendo,Sega;True;63;0,12;9,95;PlayStation 3;M;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NHL 2K8;True;7;True;True;Sports;True;Capcom,Nintendo;True;74;0,08;9,95;PlayStation 3;E;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Anubis II;True;1;True;True;Action;True;EA,Sony;True;19;0,04;9,95;Nintendo Wii;M;True;2007;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Turn It Around;True;1;True;True;Racing / Driving,Sports;True;Nintendo;True;39;0,02;9,95;Nintendo DS;E;True;2007;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
LEGO Indiana Jones: The Original Adventures;True;2;True;True;Action;True;Capcom,Nintendo;True;77;2,42;9,95;X360;M;True;2008;15.133.333.333.333.300;25.033.333.333.333.300;13.716.666.666.666.600;85;10.366.666.666.666.600;22.0;29.316.666.666.666.600;24.016.666.666.666.600;31;15.0;14.216.666.666.666.600;17.8;15.0;18;10.916.666.666.666.600;9.7;13.616.666.666.666.600;10.0;36;8.083.333.333.333.330
Kung Fu Panda;True;4;True;True;Action;True;Namco,Ubisoft;True;75;2,04;9,95;X360;E;True;2008;6.7;11.883.333.333.333.300;5.0;28;4.416.666.666.666.660;12.85;15.533.333.333.333.300;13.5;6;9.7;7.166.666.666.666.660;8.033.333.333.333.330;7.0;3;6.283.333.333.333.330;4.683.333.333.333.330;5.416.666.666.666.660;5.0;19;39.166.666.666.666.600
Sega Superstars Tennis;True;4;True;True;Sports;True;Sony;True;67;1,84;9,95;X360;E;True;2008;7.883.333.333.333.330;8.566.666.666.666.660;8.0;5;7.083.333.333.333.330;0.0;0.0;0.0;0;0.0;8.583.333.333.333.330;8.883.333.333.333.330;8.583.333.333.333.330;2;8.283.333.333.333.330;7.4;7.85;8.0;3;6.966.666.666.666.660
Guitar Hero: Aerosmith;True;2;True;True;Action,Simulation;True;Capcom,Nintendo;True;70;0,91;9,95;X360;E;True;2008;11.3;4.606.666.666.666.660;5.0;27;5.566.666.666.666.660;6.801.666.666.666.660;6.801.666.666.666.660;6.801.666.666.666.660;1;6.801.666.666.666.660;27.633.333.333.333.300;53.2;17.2;5;13.7;4.716.666.666.666.660;6.416.666.666.666.660;4.933.333.333.333.330;21;39.166.666.666.666.600
NBA Ballers: Chosen One;True;4;True;True;Sports;True;Eidos;True;55;0,17;9,95;X360;T;True;2008;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
FlatOut: Head On;True;1;True;True;Racing / Driving,Sports;True;Sony;True;74;0,14;9,95;Sony PSP;E;True;2008;21.8;32.0;23.0;21;16.45;40.8;4.121.666.666.666.660;40.8;2;40.4;20.983.333.333.333.300;26.233.333.333.333.300;24.0;13;16.833.333.333.333.300;17.25;21.933.333.333.333.300;14.5;6;13.183.333.333.333.300
